time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,sunshine_duration,daylight_duration,et0_fao_evapotranspiration,precipitation_sum
2021-01-01,8.8,3.8,6.5,5.9,-0.4,21.9,42.8,180,1.54,5948.71,29184.32,0.27,4.0
2021-01-02,5.7,0.3,2.6,2.3,-3.4,17.3,31.3,234,3.38,22837.44,29253.04,0.41,0.0
2021-01-03,4.4,-0.3,1.5,-0.1,-4.5,21.5,39.6,152,2.04,0.0,29327.07,0.22,0.0
2021-01-04,4.3,0.9,2.3,0.6,-3.9,19.8,36.4,145,1.4,0.0,29406.31,0.21,1.5
2021-01-05,0.7,-1.3,-0.3,-3.9,-6.2,18.3,34.6,116,1.45,0.0,29490.64,0.2,0.2
2021-01-06,0.9,-0.9,0.1,-1.9,-4.5,13.1,24.1,119,0.86,0.0,29579.97,0.15,4.4
2021-01-07,3.7,0.4,2.3,1.6,-2.6,18.4,31.3,125,0.85,0.0,29674.18,0.13,12.2
2021-01-08,2.0,-0.3,1.2,-3.1,-4.6,26.4,48.6,270,1.81,167.96,29773.27,0.38,2.5
2021-01-09,1.2,-1.1,-0.2,-3.2,-5.5,16.1,32.0,270,3.08,18281.37,29878.35,0.37,0.1
2021-01-10,1.0,-1.0,-0.2,-3.1,-5.9,17.6,32.0,282,2.02,9254.31,29989.48,0.38,0.1
2021-01-11,0.6,-1.4,-0.8,-3.5,-4.8,9.4,19.8,279,1.15,490.83,30106.4,0.23,0.4
2021-01-12,0.2,-1.6,-0.9,-4.4,-6.8,18.5,34.6,165,2.14,2789.51,30228.84,0.48,0.0
2021-01-13,-1.6,-3.4,-2.3,-5.8,-7.8,15.4,29.5,84,2.0,0.0,30356.53,0.4,0.4
2021-01-14,-0.5,-4.1,-2.5,-4.2,-8.0,9.0,18.7,181,1.45,0.0,30489.19,0.23,1.2
2021-01-15,-3.0,-12.2,-8.7,-7.1,-17.7,18.7,39.6,316,3.69,10800.0,30626.58,0.41,1.0
2021-01-16,-12.6,-18.7,-15.1,-18.2,-24.3,15.0,29.5,299,5.14,21600.0,30768.43,0.27,0.0
2021-01-17,-13.9,-19.1,-17.1,-18.5,-23.9,10.0,15.5,311,5.99,28800.0,30914.49,0.21,0.0
2021-01-18,-14.0,-22.5,-17.5,-19.1,-28.3,13.2,24.8,310,5.08,22716.47,31064.51,0.22,0.0
2021-01-19,-12.6,-18.2,-15.8,-17.7,-23.2,10.3,19.8,294,5.24,24800.49,31218.22,0.24,0.0
2021-01-20,-9.0,-22.5,-13.8,-14.6,-28.4,15.9,28.4,157,5.96,27195.08,31375.41,0.32,0.0
2021-01-21,2.0,-8.8,-2.9,-2.7,-14.3,18.6,33.1,187,5.18,27826.83,31535.82,0.44,0.6
2021-01-22,4.7,-3.2,0.2,0.6,-7.7,16.9,29.2,192,4.8,22852.53,31699.23,0.47,0.0
2021-01-23,4.6,-1.9,0.7,1.0,-5.7,15.1,27.4,168,6.12,29626.12,31865.39,0.47,0.0
2021-01-24,7.3,1.0,4.5,2.9,-3.2,24.2,43.6,156,1.53,0.0,32034.11,0.25,0.7
2021-01-25,6.7,3.7,5.1,1.9,0.2,27.8,50.4,141,1.85,0.0,32205.14,0.22,7.7
2021-01-26,6.0,0.6,2.5,1.2,-5.5,39.5,73.4,219,3.37,10283.48,32378.28,0.81,5.1
2021-01-27,0.7,-0.8,-0.0,-3.3,-5.8,18.5,34.2,307,1.96,0.0,32553.31,0.51,1.2
2021-01-28,0.3,-1.5,-0.7,-4.6,-6.7,22.4,42.5,343,1.63,0.0,32730.24,0.3,8.5
2021-01-29,0.4,-5.2,-2.5,-5.3,-10.4,23.1,45.7,256,3.24,12971.72,32910.84,0.51,4.0
2021-01-30,-3.1,-9.4,-4.9,-6.5,-13.9,15.8,32.8,203,3.19,3444.91,33095.37,0.25,2.8
2021-01-31,-0.8,-9.9,-4.2,-5.3,-14.6,19.5,36.0,281,5.77,20462.02,33283.54,0.4,1.8
2021-02-01,-3.3,-10.1,-6.6,-8.1,-15.0,16.6,29.5,51,5.34,5213.98,33475.07,0.31,0.6
2021-02-02,-2.8,-8.5,-5.9,-6.3,-13.5,13.1,28.4,34,5.06,6886.34,33669.7,0.35,0.5
2021-02-03,2.0,-5.6,-0.8,-1.7,-10.0,14.7,26.6,203,4.84,5104.18,33867.17,0.38,0.2
2021-02-04,4.2,-1.0,1.9,0.5,-6.7,30.3,55.1,225,2.77,0.0,34067.22,0.32,2.8
2021-02-05,-1.9,-6.9,-4.7,-8.8,-13.2,30.9,56.2,316,4.13,2345.63,34269.6,0.67,0.0
2021-02-06,-2.1,-10.0,-6.1,-7.9,-15.6,17.3,33.8,299,5.22,15528.77,34474.06,0.74,0.2
2021-02-07,-9.5,-12.8,-11.2,-14.1,-17.6,12.3,24.5,42,6.15,20279.67,34680.38,0.49,0.0
2021-02-08,-8.0,-12.2,-10.6,-15.1,-18.5,27.5,49.0,102,2.52,0.0,34888.31,0.36,10.3
2021-02-09,-4.0,-7.8,-6.3,-8.6,-14.9,26.1,46.8,106,5.23,6924.15,35097.64,0.39,12.4
2021-02-10,-3.7,-8.8,-6.1,-8.1,-12.7,15.9,25.6,46,4.75,1502.81,35308.14,0.33,7.7
2021-02-11,-6.2,-10.4,-7.9,-11.5,-14.6,20.4,32.8,50,2.6,0.0,35519.61,0.21,9.0
2021-02-12,-7.6,-13.6,-11.1,-13.8,-20.6,30.3,50.0,314,5.68,0.0,35731.82,0.36,6.1
2021-02-13,-10.9,-13.1,-12.3,-18.9,-21.4,34.2,55.4,309,5.54,0.0,35944.6,0.43,5.1
2021-02-14,-3.5,-12.4,-8.4,-8.9,-19.8,30.8,51.1,308,7.79,23880.55,36157.72,0.56,0.0
2021-02-15,-6.0,-12.8,-9.7,-11.8,-17.9,17.6,28.8,318,6.51,16133.02,36371.01,0.36,0.9
2021-02-16,-9.9,-17.1,-14.0,-14.1,-22.9,13.8,18.0,274,10.53,30031.46,36584.26,0.49,0.0
2021-02-17,-6.8,-16.5,-11.6,-11.1,-21.7,11.3,19.1,207,8.67,18273.4,36797.49,0.48,0.0
2021-02-18,-8.3,-14.7,-9.8,-11.9,-19.6,20.2,34.9,356,7.87,20643.17,37012.54,0.35,0.3
2021-02-19,-9.0,-22.8,-15.3,-13.6,-27.6,12.2,20.2,219,11.7,35556.92,37229.73,0.51,0.0
2021-02-20,0.4,-13.1,-7.0,-4.1,-18.4,15.9,26.3,214,6.9,14071.7,37448.88,0.53,0.0
2021-02-21,2.8,0.2,1.0,-0.7,-4.0,15.5,25.6,265,6.4,13019.15,37669.75,0.57,0.2
2021-02-22,4.9,-1.5,1.1,0.8,-6.0,15.4,25.6,277,11.41,35992.84,37892.18,0.97,0.0
2021-02-23,-0.1,-4.2,-2.0,-4.4,-9.1,16.2,29.9,111,6.42,7533.27,38115.98,0.47,0.0
2021-02-24,3.0,-4.7,-0.3,0.1,-10.1,17.1,30.2,198,4.79,0.0,38340.94,0.49,0.5
